For Query: theory of distributed systems and databases subtopics special interest include reliability fault tolerance in atomicity transactions synchronization algorithms resource allocation lower bounds models for asynchronous parallel also communicating processes protocols p box 2158 yale station new haven conn 06520 programs programming style functional forms proofs formal verification program output input procedures real point languages mathematics language natural statement indivisible reduction

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  N  	  0.000  	  0.000
08  	  N  	  0.000  	  0.000
09  	  R  	  0.111  	  0.200
10  	  N  	  0.100  	  0.200
11  	  N  	  0.091  	  0.200
12  	  N  	  0.083  	  0.200
13  	  N  	  0.077  	  0.200
14  	  N  	  0.071  	  0.200
15  	  N  	  0.067  	  0.200
16  	  N  	  0.062  	  0.200
17  	  N  	  0.059  	  0.200
18  	  N  	  0.056  	  0.200
19  	  N  	  0.053  	  0.200
20  	  N  	  0.050  	  0.200
21  	  N  	  0.048  	  0.200
22  	  N  	  0.045  	  0.200
23  	  N  	  0.043  	  0.200
24  	  N  	  0.042  	  0.200
25  	  N  	  0.040  	  0.200
26  	  N  	  0.038  	  0.200
27  	  N  	  0.037  	  0.200
28  	  N  	  0.036  	  0.200
29  	  N  	  0.034  	  0.200
30  	  N  	  0.033  	  0.200
31  	  N  	  0.032  	  0.200
32  	  N  	  0.031  	  0.200
33  	  N  	  0.030  	  0.200
34  	  N  	  0.029  	  0.200
35  	  N  	  0.029  	  0.200
36  	  N  	  0.028  	  0.200
37  	  N  	  0.027  	  0.200
38  	  N  	  0.026  	  0.200
39  	  N  	  0.026  	  0.200
40  	  N  	  0.025  	  0.200
41  	  N  	  0.024  	  0.200
42  	  N  	  0.024  	  0.200
43  	  N  	  0.023  	  0.200
44  	  N  	  0.023  	  0.200
45  	  N  	  0.022  	  0.200
46  	  N  	  0.022  	  0.200
47  	  N  	  0.021  	  0.200
48  	  N  	  0.021  	  0.200
49  	  N  	  0.020  	  0.200
50  	  R  	  0.040  	  0.400
51  	  R  	  0.059  	  0.600
52  	  N  	  0.058  	  0.600
53  	  N  	  0.057  	  0.600
54  	  N  	  0.056  	  0.600
55  	  N  	  0.055  	  0.600
56  	  N  	  0.054  	  0.600
57  	  N  	  0.053  	  0.600
58  	  N  	  0.052  	  0.600
59  	  N  	  0.051  	  0.600
60  	  N  	  0.050  	  0.600
61  	  N  	  0.049  	  0.600
62  	  N  	  0.048  	  0.600
63  	  R  	  0.063  	  0.800
64  	  N  	  0.062  	  0.800
65  	  N  	  0.062  	  0.800
66  	  N  	  0.061  	  0.800
67  	  N  	  0.060  	  0.800
68  	  N  	  0.059  	  0.800
69  	  N  	  0.058  	  0.800
70  	  N  	  0.057  	  0.800
71  	  N  	  0.056  	  0.800
72  	  N  	  0.056  	  0.800
73  	  N  	  0.055  	  0.800
74  	  N  	  0.054  	  0.800
75  	  N  	  0.053  	  0.800
76  	  N  	  0.053  	  0.800
77  	  N  	  0.052  	  0.800
78  	  N  	  0.051  	  0.800
79  	  N  	  0.051  	  0.800
80  	  N  	  0.050  	  0.800
81  	  N  	  0.049  	  0.800
82  	  N  	  0.049  	  0.800
83  	  N  	  0.048  	  0.800
84  	  N  	  0.048  	  0.800
85  	  N  	  0.047  	  0.800
86  	  N  	  0.047  	  0.800
87  	  N  	  0.046  	  0.800
88  	  N  	  0.045  	  0.800
89  	  N  	  0.045  	  0.800
90  	  N  	  0.044  	  0.800
91  	  N  	  0.044  	  0.800
92  	  N  	  0.043  	  0.800
93  	  N  	  0.043  	  0.800
94  	  N  	  0.043  	  0.800
95  	  N  	  0.042  	  0.800
96  	  N  	  0.042  	  0.800
97  	  N  	  0.041  	  0.800
98  	  N  	  0.041  	  0.800
99  	  N  	  0.040  	  0.800
100  	  N  	  0.040  	  0.800
