For Query: what does type compatibility mean in languages that allow programmer defined types you might want to restrict this to extensible languages that allow definition of abstract data types or programmer supplied definitions of operators like

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  N  	  0.500  	  0.200
03  	  N  	  0.333  	  0.200
04  	  N  	  0.250  	  0.200
05  	  R  	  0.400  	  0.400
06  	  N  	  0.333  	  0.400
07  	  N  	  0.286  	  0.400
08  	  N  	  0.250  	  0.400
09  	  N  	  0.222  	  0.400
10  	  N  	  0.200  	  0.400
11  	  N  	  0.182  	  0.400
12  	  N  	  0.167  	  0.400
13  	  N  	  0.154  	  0.400
14  	  N  	  0.143  	  0.400
15  	  N  	  0.133  	  0.400
16  	  N  	  0.125  	  0.400
17  	  N  	  0.118  	  0.400
18  	  N  	  0.111  	  0.400
19  	  N  	  0.105  	  0.400
20  	  N  	  0.100  	  0.400
21  	  N  	  0.095  	  0.400
22  	  N  	  0.091  	  0.400
23  	  N  	  0.087  	  0.400
24  	  N  	  0.083  	  0.400
25  	  N  	  0.080  	  0.400
26  	  R  	  0.115  	  0.600
27  	  N  	  0.111  	  0.600
28  	  R  	  0.143  	  0.800
29  	  N  	  0.138  	  0.800
30  	  N  	  0.133  	  0.800
31  	  N  	  0.129  	  0.800
32  	  N  	  0.125  	  0.800
33  	  N  	  0.121  	  0.800
34  	  N  	  0.118  	  0.800
35  	  N  	  0.114  	  0.800
36  	  N  	  0.111  	  0.800
37  	  N  	  0.108  	  0.800
38  	  N  	  0.105  	  0.800
39  	  N  	  0.103  	  0.800
40  	  N  	  0.100  	  0.800
41  	  N  	  0.098  	  0.800
42  	  N  	  0.095  	  0.800
43  	  N  	  0.093  	  0.800
44  	  N  	  0.091  	  0.800
45  	  N  	  0.089  	  0.800
46  	  N  	  0.087  	  0.800
47  	  N  	  0.085  	  0.800
48  	  N  	  0.083  	  0.800
49  	  N  	  0.082  	  0.800
50  	  N  	  0.080  	  0.800
51  	  N  	  0.078  	  0.800
52  	  N  	  0.077  	  0.800
53  	  N  	  0.075  	  0.800
54  	  N  	  0.074  	  0.800
55  	  N  	  0.073  	  0.800
56  	  R  	  0.089  	  1.000
57  	  N  	  0.088  	  1.000
58  	  N  	  0.086  	  1.000
59  	  N  	  0.085  	  1.000
60  	  N  	  0.083  	  1.000
61  	  N  	  0.082  	  1.000
62  	  N  	  0.081  	  1.000
63  	  N  	  0.079  	  1.000
64  	  N  	  0.078  	  1.000
65  	  N  	  0.077  	  1.000
66  	  N  	  0.076  	  1.000
67  	  N  	  0.075  	  1.000
68  	  N  	  0.074  	  1.000
69  	  N  	  0.072  	  1.000
70  	  R  	  0.086  	  1.200
71  	  N  	  0.085  	  1.200
72  	  N  	  0.083  	  1.200
73  	  N  	  0.082  	  1.200
74  	  N  	  0.081  	  1.200
75  	  N  	  0.080  	  1.200
76  	  N  	  0.079  	  1.200
77  	  N  	  0.078  	  1.200
78  	  N  	  0.077  	  1.200
79  	  N  	  0.076  	  1.200
80  	  N  	  0.075  	  1.200
81  	  N  	  0.074  	  1.200
82  	  N  	  0.073  	  1.200
83  	  N  	  0.072  	  1.200
84  	  R  	  0.083  	  1.400
85  	  N  	  0.082  	  1.400
86  	  N  	  0.081  	  1.400
87  	  N  	  0.080  	  1.400
88  	  N  	  0.080  	  1.400
89  	  N  	  0.079  	  1.400
90  	  N  	  0.078  	  1.400
91  	  N  	  0.077  	  1.400
92  	  R  	  0.087  	  1.600
93  	  N  	  0.086  	  1.600
94  	  N  	  0.085  	  1.600
95  	  N  	  0.084  	  1.600
96  	  N  	  0.083  	  1.600
97  	  N  	  0.082  	  1.600
98  	  N  	  0.082  	  1.600
99  	  N  	  0.081  	  1.600
100  	  N  	  0.080  	  1.600
